name,brand,servingSizeG,servingUnit,calories,proteinG,carbsG,fatG,fiberG,sodiumMg,sugarG,saturatedFatG,transFatG,cholesterolMg,potassiumMg,source
Minute Maid Light Lemonade (Reg),Qdoba,20,fl oz,40,0,10,0,0,40,5,0,0,0,0,qdoba
Minute Maid Light Lemonade (Lrg),Qdoba,30,fl oz,60,0,15,0,0,55,8,0,0,0,0,qdoba
POWERade Mountain Berry Blast (Reg),Qdoba,20,fl oz,130,0,35,0,0,250,35,0,0,0,0,qdoba
POWERade Mountain Berry Blast (Lrg),Qdoba,30,fl oz,200,0,53,0,0,380,53,0,0,0,0,qdoba
Gold Peak Classic Blend Tea (Reg),Qdoba,20,fl oz,10,0,3,0,0,25,0,0,0,0,320,qdoba
Gold Peak Classic Blend Tea (Lrg),Qdoba,30,fl oz,15,0,4,0,0,40,0,0,0,0,490,qdoba
Gold Peak Southern Tea (Reg),Qdoba,20,fl oz,180,0,46,0,0,15,44,0,0,0,200,qdoba
Gold Peak Southern Tea (Lrg),Qdoba,30,fl oz,270,0,69,0,0,25,67,0,0,0,300,qdoba
Gold Peak Classic Sweet Tea (Reg),Qdoba,20,fl oz,160,0,41,0,0,15,39,0,0,0,200,qdoba
Gold Peak Classic Sweet Tea (Lrg),Qdoba,30,fl oz,230,0,61,0,0,25,58,0,0,0,300,qdoba
Sprite (Reg),Qdoba,20,fl oz,260,0,67,0,0,60,59,0,0,0,5,qdoba
Sprite (Lrg),Qdoba,30,fl oz,400,0,101,0,0,90,89,0,0,0,10,qdoba
Dasani Water (16.9 fl. oz.),Qdoba,16.9,fl oz,0,0,0,0,0,0,0,0,0,0,0,qdoba
Coca Cola (20 fl. oz.),Qdoba,20,fl oz,240,0,67,0,0,80,67,0,0,0,0,qdoba
Diet Coke (20 fl. oz.),Qdoba,20,fl oz,0,0,0,0,0,65,0,0,0,0,0,qdoba
"Gold Peak Black Ice Tea, Unsweetened (16.9 fl. oz.)",Qdoba,16.9,fl oz,0,0,0,0,0,0,0,0,0,0,0,qdoba
Gold Peak Green Tea (16.9 fl. oz.),Qdoba,16.9,fl oz,150,0,38,0,0,0,38,0,0,0,0,qdoba
Gold Peak Peach Ice Tea (16.9 fl. oz.),Qdoba,16.9,fl oz,170,0,45,0,0,30,45,0,0,0,0,qdoba
Gold Peak Raspberry Ice Tea (16.9 fl. oz.),Qdoba,16.9,fl oz,190,0,48,0,0,30,48,0,0,0,0,qdoba
Honest Apple Juice Box (6 fl. oz.),Qdoba,6,fl oz,40,0,10,0,0,15,9,0,0,0,80,qdoba
Jarritos Lime (12.5 fl.oz),Qdoba,12.5,fl oz,170,0,44,0,0,40,44,0,0,0,0,qdoba
Jarritos Mandarian (12.5 fl.oz),Qdoba,12.5,fl oz,140,0,36,0,0,0,36,0,0,0,0,qdoba
Jarritos Pineapple (12.5 fl. oz),Qdoba,12.5,fl oz,140,0,35,0,0,45,35,0,0,0,0,qdoba
Jarritos Strawberry (12.5fl. oz),Qdoba,12.5,fl oz,170,0,43,0,0,0,43,0,0,0,0,qdoba
Mexican Coke (12 fl. Oz),Qdoba,12,fl oz,150,0,39,0,0,85,39,0,0,0,10,qdoba
Minute Maid Kid's Apple Juice Box (6 fl. oz.),Qdoba,6,fl oz,80,0,21,0,0,15,19,0,0,0,350,qdoba
Oasis 100% Apple Juice (CANADA),Qdoba,6,fl oz,90,0,21,0,0,5,19,0,0,0,175,qdoba
Oasis 100% Apple Juice (CANADA),Qdoba,10,fl oz,130,0,31,0,0,10,30,0,0,0,250,qdoba
Simply Orange Juice (11.5 fl. oz.),Qdoba,11.5,fl oz,160,2,37,0,0,0,33,0,0,0,640,qdoba
Vitamin Water Power C (20 fl. oz.),Qdoba,16.9,fl oz,100,0,27,0,0,0,27,0,0,0,0,qdoba
Vitamin Water XXX (20 fl. oz.),Qdoba,16.9,fl oz,90,0,26,0,0,0,26,0,0,0,0,qdoba
